"title","url","primary_category","source_type","country","notes","page_url"
"Credit Scores 101","https://www.nerdwallet.com/finance/learn/great-credit-powerful-tool","Financial Planning","General","US","Smooths general FP answers","https://www.nerdwallet.com/finance/learn/great-credit-powerful-tool"
"Best Ways to Save Money","https://www.nerdwallet.com/article/finance/how-to-save-money","Financial Planning","General","US","Practical tips","https://www.nerdwallet.com/article/finance/how-to-save-money"
"How to Budget","https://www.nerdwallet.com/article/finance/how-to-budget","Financial Planning","General","US","Beginner-friendly","https://www.nerdwallet.com/article/finance/how-to-budget"
